id,month,year,visits,no_of_appts,production
280,1,2015,837,131,237821.39
280,2,2015,708,90,217664.0
280,3,2015,875,138,258013.4
280,4,2015,801,120,252791.27
280,5,2015,791,120,250110.22
280,6,2015,953,147,293158.71
280,7,2015,854,117,267854.57
280,8,2015,726,92,191329.62
280,9,2015,778,89,232417.99
280,10,2015,845,116,245872.08
280,11,2015,840,102,248248.79
280,12,2015,812,93,262275.43
280,1,2016,766,96,211122.47
280,2,2016,751,102,257073.29
280,3,2016,811,111,251039.21
280,4,2016,894,83,263459.88
280,5,2016,865,76,277094.88
280,6,2016,793,72,242921.95
280,7,2016,775,91,230282.43
280,8,2016,805,57,235114.17
280,9,2016,776,58,224385.25
280,10,2016,763,56,220035.37
280,11,2016,852,44,240429.69
280,12,2016,803,36,243055.07
280,1,2017,827,50,236968.67
280,2,2017,737,31,219646.84
280,3,2017,838,27,253398.67
280,4,2017,757,31,196958.81
280,5,2017,904,40,259172.89
280,6,2017,810,33,216055.97
280,7,2017,701,33,202764.88
280,8,2017,788,19,222716.65
280,9,2017,744,21,210494.65
280,10,2017,842,25,237168.86
280,11,2017,913,44,255479.09
280,12,2017,748,42,225476.76
280,1,2018,834,23,289085.31
280,2,2018,534,51,136242.69
280,3,2018,701,79,174069.3
280,4,2018,632,100,149560.87
280,5,2018,661,85,150525.87
280,6,2018,622,105,164270.96
280,7,2018,617,95,147602.23
280,8,2018,544,92,139230.7
280,9,2018,563,78,133853.63
280,10,2018,647,109,162672.39
280,11,2018,587,75,152818.06
280,12,2018,499,66,121034.33
280,1,2019,637,94,165592.34
280,2,2019,515,63,131267.13
280,3,2019,584,65,150831.23
280,4,2019,617,66,161595.64
280,5,2019,605,57,161637.45
280,6,2019,555,62,146286.94
280,7,2019,607,59,157741.44
280,8,2019,541,45,139446.03
280,9,2019,565,35,143262.01
280,10,2019,571,57,152552.06
280,11,2019,552,60,151399.79
280,12,2019,529,54,150289.65
280,1,2020,591,47,148485.23
280,2,2020,467,20,120986.0
280,3,2020,262,28,67074.61
280,5,2020,2,1,1110.0
280,6,2020,244,20,75051.63
280,7,2020,496,27,115622.54
280,8,2020,506,21,124881.84
280,9,2020,522,24,137434.5
280,10,2020,502,34,135877.41
280,11,2020,546,39,155555.04
280,12,2020,510,23,147191.03
90,1,2010,1266,3,167725.69
90,2,2010,1130,1,161975.1
90,3,2010,1205,1,169838.35
90,4,2010,1144,5,172165.3
90,6,2010,1174,1,181203.83
90,7,2010,1001,4,144735.9
90,8,2010,1029,2,139529.23
90,9,2010,1289,3,176556.94
90,10,2010,1077,5,145502.84
90,11,2010,1284,4,180976.29
90,1,2011,1258,11,179594.5
90,2,2011,1156,10,184240.43
90,3,2011,1157,6,182287.37
90,4,2011,1251,10,201121.51
90,5,2011,1208,8,214004.34
90,6,2011,1246,5,211895.18
90,7,2011,932,1,149698.3
90,8,2011,1331,7,203766.99
90,9,2011,1068,11,177929.06
90,10,2011,1103,6,159421.65
90,11,2011,1143,10,176112.49
90,12,2011,1101,4,187683.17
90,1,2012,1234,6,187679.57
90,2,2012,1217,18,181699.69
90,3,2012,1131,5,182554.63
90,4,2012,1127,10,183099.03
90,5,2012,1149,12,175558.8
90,6,2012,1147,3,196678.65
90,7,2012,961,5,135265.9
90,8,2012,1157,10,192485.08
90,9,2012,1042,10,151517.16
90,10,2012,1162,7,175470.36
90,11,2012,1096,9,171133.18
90,12,2012,963,5,156200.24
90,1,2013,1154,8,170047.4
90,2,2013,960,7,146305.27
90,3,2013,1018,11,154161.75
90,4,2013,1204,15,183968.28
90,5,2013,1170,10,181864.4
90,6,2013,1103,4,171406.34
90,7,2013,915,9,139065.62
90,8,2013,963,5,145829.59
90,9,2013,1127,17,157282.59
90,10,2013,1146,4,174166.1
90,11,2013,906,8,141089.83
90,12,2013,789,8,118063.34
90,1,2014,1083,12,162728.25
90,2,2014,972,13,146015.12
90,3,2014,933,15,148089.6
90,4,2014,1150,14,180658.72
90,5,2014,1119,19,159344.68
90,6,2014,1095,17,166082.51
90,7,2014,956,16,173336.02
90,8,2014,1011,18,161762.94
90,9,2014,1153,17,161351.81
90,10,2014,1040,14,173525.34
90,11,2014,1134,9,173003.08
90,12,2014,1003,9,153575.16
90,1,2015,1186,8,178217.63
90,2,2015,1098,10,173919.46
90,3,2015,1121,11,182427.44
90,4,2015,1263,14,182623.62
90,5,2015,1171,12,174932.52
90,6,2015,1316,20,222761.47
90,7,2015,1052,14,155302.27
90,8,2015,1150,22,183856.97
90,9,2015,1226,16,205753.4
90,10,2015,1142,15,203677.09
90,11,2015,1202,16,190631.15
90,12,2015,1142,16,202411.53
90,1,2016,1190,27,203090.2
90,2,2016,1125,14,217751.03
90,3,2016,1205,23,225199.25
90,4,2016,1126,22,196013.78
90,5,2016,1192,17,207897.58
90,6,2016,1105,25,186858.57
90,7,2016,992,23,150107.34
90,8,2016,1281,16,218821.64
90,9,2016,1048,14,178495.42
90,10,2016,995,12,155482.34
90,11,2016,1086,15,177721.73
90,12,2016,982,9,192503.0
90,1,2017,1180,20,188975.5
90,2,2017,818,20,132606.2
90,3,2017,1172,35,195981.18
90,4,2017,939,11,170085.52
90,5,2017,1158,21,207872.9
90,6,2017,1068,12,198210.93
90,7,2017,914,13,169005.71
90,8,2017,1207,19,195063.54
90,9,2017,1014,20,171146.68
90,10,2017,1072,15,186993.93
90,11,2017,1063,17,175155.19
90,12,2017,889,21,172918.02
90,1,2018,1087,16,195229.04
90,2,2018,987,24,173685.89
90,3,2018,1039,14,184518.46
90,4,2018,997,23,169692.3
90,5,2018,1076,16,200282.05
90,6,2018,916,10,156610.44
90,7,2018,774,12,129617.91
90,8,2018,845,22,148932.99
90,9,2018,929,17,163690.31
90,10,2018,1122,23,196717.76
90,11,2018,1000,23,183137.08
90,12,2018,826,15,176587.83
90,1,2019,1182,35,223038.38
90,2,2019,963,28,180696.36
90,3,2019,1024,40,195185.86
90,4,2019,986,34,184134.45
90,5,2019,1094,31,210693.29
90,6,2019,879,23,171134.42
90,7,2019,816,16,164029.74
90,8,2019,1013,25,188267.33
90,9,2019,977,36,188114.53
90,10,2019,1108,27,232516.87
90,11,2019,1105,34,201487.95
90,12,2019,888,32,190786.65
90,1,2020,957,36,202738.89
90,2,2020,985,45,226259.7
90,3,2020,520,29,126258.91
90,6,2020,581,22,111663.55
90,7,2020,1028,31,235361.01
90,8,2020,921,25,218216.7
90,9,2020,1031,49,240734.19
90,10,2020,954,40,220918.12
90,11,2020,947,55,207481.56
90,12,2020,791,39,203706.43
251,4,2014,637,718,185545.03
251,5,2014,694,792,194504.77
251,6,2014,632,727,172807.38
251,7,2014,604,643,193732.13
251,8,2014,588,695,180269.6
251,9,2014,601,701,159385.06
251,10,2014,653,742,183951.05
251,11,2014,554,610,153004.03
251,12,2014,551,606,179805.74
251,1,2015,558,598,164069.69
251,2,2015,532,570,166220.58
251,3,2015,627,695,194469.5
251,4,2015,561,600,133031.14
251,5,2015,548,556,144897.39
251,6,2015,548,602,133675.54
251,7,2015,524,579,118438.93
251,8,2015,435,510,91388.0
251,9,2015,416,500,97386.87
251,10,2015,400,506,103290.28
251,11,2015,316,414,92281.43
251,12,2015,332,406,93394.2
251,1,2016,400,505,117104.88
251,2,2016,378,485,150190.5
251,3,2016,439,520,170649.79
251,4,2016,433,468,168885.33
251,5,2016,369,343,204435.72
251,6,2016,419,388,209496.16
251,7,2016,308,290,152871.87
251,8,2016,363,310,161088.48
251,9,2016,336,309,146802.25
251,10,2016,405,322,155633.52
251,11,2016,452,429,180735.85
251,12,2016,354,334,147505.4
251,1,2017,335,251,123071.75
251,2,2017,360,273,127841.62
251,3,2017,389,267,150946.86
251,4,2017,294,153,109023.3
251,5,2017,394,254,167023.95
251,6,2017,334,239,130965.53
251,7,2017,345,285,127312.37
251,8,2017,396,316,135587.68
251,9,2017,291,212,107716.91
251,10,2017,289,193,15007.81
251,11,2017,287,199,100348.04
251,12,2017,250,156,90086.78
251,1,2018,279,166,87325.17
251,2,2018,225,136,77010.95
251,3,2018,318,235,106467.22
251,4,2018,342,272,115516.24
251,5,2018,368,271,106809.48
251,6,2018,306,214,97857.33
251,7,2018,301,203,99987.45
251,8,2018,331,291,104626.05
251,9,2018,309,273,108472.71
251,10,2018,334,314,143661.29
251,11,2018,308,307,114285.59
251,12,2018,213,188,87589.42
251,1,2019,429,383,146203.31
251,2,2019,321,227,107157.43
251,3,2019,305,170,111452.8
251,4,2019,340,190,149021.21
251,5,2019,364,211,172534.07
251,6,2019,260,101,109740.55
251,7,2019,303,145,132021.74
251,8,2019,315,137,140563.87
251,9,2019,347,107,162133.41
251,10,2019,381,140,164909.26
251,11,2019,326,115,144205.98
251,12,2019,267,91,131145.26
251,1,2020,333,111,161162.62
251,2,2020,317,105,162263.73
251,3,2020,196,70,96399.33
251,4,2020,2,25,649.5
251,5,2020,15,28,-748.41
251,6,2020,93,22,46464.81
251,7,2020,404,97,168793.54
251,8,2020,435,74,201762.32
251,9,2020,427,54,218352.42
251,10,2020,509,42,243069.69
251,11,2020,388,26,201761.5
251,12,2020,272,6,158074.59
202,10,2012,871,1,398456.89
202,10,2013,816,132,393272.54
202,11,2013,631,225,309211.37
202,12,2013,678,287,320563.95
202,1,2014,808,318,429283.3
202,2,2014,753,384,389409.8
202,3,2014,866,509,482124.46
202,4,2014,799,498,473088.39
202,5,2014,736,559,375892.61
202,6,2014,832,667,474169.07
202,7,2014,757,584,365420.98
202,8,2014,734,621,376607.67
202,9,2014,806,711,405899.73
202,10,2014,889,786,470981.57
202,11,2014,633,585,354295.48
202,12,2014,722,671,361773.85
202,1,2015,778,725,390084.36
202,2,2015,752,714,420572.85
202,3,2015,888,844,459691.1
202,4,2015,837,789,463194.25
202,5,2015,761,717,394372.81
202,6,2015,938,902,474443.86
202,7,2015,750,705,406454.46
202,8,2015,644,615,307879.76
202,9,2015,771,739,426059.16
202,10,2015,790,749,403083.58
202,11,2015,782,747,429728.54
202,12,2015,694,688,343535.64
202,1,2016,804,777,401226.77
202,2,2016,755,721,421421.59
202,3,2016,921,888,520224.7
202,4,2016,787,753,467114.9
202,5,2016,801,776,415932.82
202,6,2016,926,908,478700.13
202,7,2016,583,587,276985.53
202,8,2016,954,950,497439.09
202,9,2016,786,770,421722.82
202,10,2016,872,890,433721.11
202,11,2016,897,884,479966.12
202,12,2016,704,703,317398.3
202,1,2017,962,960,520588.34
202,2,2017,810,809,397890.29
202,3,2017,978,981,523253.48
202,4,2017,840,842,451323.41
202,5,2017,1010,1009,530730.97
202,6,2017,983,985,513757.1
202,7,2017,818,834,412273.17
202,8,2017,893,893,455942.58
202,9,2017,839,846,438430.35
202,10,2017,955,928,491313.96
202,11,2017,919,911,478644.95
202,12,2017,681,673,324859.59
202,1,2018,1000,1006,523576.95
202,2,2018,866,863,466836.33
202,3,2018,922,932,538993.54
202,4,2018,879,872,447525.25
202,5,2018,978,977,480284.49
202,6,2018,910,901,462070.84
202,7,2018,873,867,439518.42
202,8,2018,824,832,415898.08
202,9,2018,728,747,396313.68
202,10,2018,924,960,458419.28
202,11,2018,866,883,471603.08
202,12,2018,663,674,308541.15
202,1,2019,960,992,448516.41
202,2,2019,811,837,404944.76
202,3,2019,842,867,400523.95
202,4,2019,959,966,449307.86
202,5,2019,888,899,489882.19
202,6,2019,857,866,417157.1
202,7,2019,854,887,406736.59
202,8,2019,818,826,376423.62
202,9,2019,846,875,408850.73
202,10,2019,982,1005,508108.44
202,11,2019,819,861,423837.52
202,12,2019,764,796,415850.77
202,1,2020,872,907,451376.96
202,2,2020,895,911,504107.55
202,3,2020,520,544,257937.24
202,5,2020,221,240,122902.88
202,6,2020,666,702,358942.08
202,7,2020,888,922,484718.06
202,8,2020,793,827,428000.69
202,9,2020,876,915,511369.72
202,10,2020,761,792,459054.76
202,11,2020,752,766,469954.27
202,12,2020,718,726,388392.15
69,1,2010,973,20,170702.92
69,2,2010,916,13,191462.54
69,3,2010,1185,24,204132.83
69,4,2010,976,17,173242.57
69,5,2010,987,28,190567.28
69,6,2010,1125,40,240595.48
69,7,2010,869,27,179880.17
69,8,2010,983,24,189915.43
69,9,2010,1009,25,202867.93
69,10,2010,967,22,178601.8
69,11,2010,1083,24,208141.94
69,12,2010,848,22,163512.05
69,1,2011,950,15,179598.84
69,2,2011,916,28,178961.38
69,3,2011,1112,27,219235.84
69,4,2011,924,18,170154.34
69,5,2011,1050,21,201000.58
69,6,2011,1074,30,206901.04
69,7,2011,869,18,183285.27
69,8,2011,1054,25,204847.13
69,9,2011,998,39,206591.09
69,10,2011,956,18,179014.27
69,11,2011,1092,23,209199.25
69,12,2011,855,21,159102.28
69,1,2012,1090,29,229960.75
69,2,2012,958,35,197453.45
69,3,2012,982,24,172412.92
69,4,2012,998,22,181868.23
69,5,2012,1120,42,251252.0
69,6,2012,1005,38,212727.59
69,7,2012,972,24,187155.19
69,8,2012,1008,26,213104.59
69,9,2012,917,26,205751.75
69,10,2012,1113,35,215006.66
69,11,2012,1069,27,220233.99
69,12,2012,850,25,167159.32
69,1,2013,1014,18,189708.03
69,2,2013,911,28,184608.66
69,3,2013,923,19,182905.26
69,4,2013,1080,36,222779.92
69,5,2013,1106,33,229636.98
69,6,2013,973,32,197166.95
69,7,2013,1093,31,234411.35
69,8,2013,1012,25,192020.5
69,9,2013,919,21,181574.3
69,10,2013,1155,26,244945.99
69,11,2013,1030,53,212710.68
69,12,2013,894,35,208114.61
69,1,2014,1055,28,194320.44
69,2,2014,949,27,211232.87
69,3,2014,1072,37,206948.03
69,4,2014,1029,32,228417.11
69,5,2014,1046,32,214937.24
69,6,2014,971,29,198937.61
69,7,2014,1073,28,209560.12
69,8,2014,973,36,215341.64
69,9,2014,1064,27,230122.48
69,10,2014,1113,16,214479.07
69,11,2014,1017,16,203065.22
69,12,2014,984,13,216532.91
69,1,2015,1010,20,200904.65
69,2,2015,896,11,171197.35
69,3,2015,1183,29,231132.62
69,4,2015,1097,17,209770.07
69,5,2015,991,16,196912.87
69,6,2015,1119,19,237483.49
69,7,2015,1032,9,208070.14
69,8,2015,1000,15,194882.48
69,9,2015,1092,18,225790.87
69,10,2015,1075,13,204919.5
69,11,2015,1111,20,218237.97
69,12,2015,1057,18,216733.5
69,1,2016,1042,23,210678.75
69,2,2016,962,19,195430.2
69,3,2016,1158,32,246975.87
69,4,2016,1034,17,211191.3
69,5,2016,1113,18,230972.33
69,6,2016,1108,25,270948.47
69,7,2016,941,28,203105.85
69,8,2016,1137,27,236816.43
69,9,2016,1047,31,234615.2
69,10,2016,1052,19,234026.62
69,11,2016,1234,39,276356.17
69,12,2016,1038,21,251294.22
69,1,2017,1094,30,242276.63
69,2,2017,1064,35,265426.84
69,3,2017,1216,50,279989.49
69,4,2017,1088,29,238150.44
69,5,2017,1341,55,297611.98
69,6,2017,1263,38,287840.62
69,7,2017,1005,18,213947.5
69,8,2017,1241,34,277035.16
69,9,2017,1090,36,248019.32
69,10,2017,1196,29,267288.06
69,11,2017,1299,47,287627.76
69,12,2017,996,29,225182.28
69,1,2018,1211,43,276304.64
69,2,2018,1021,32,233723.26
69,3,2018,1170,36,265641.26
69,4,2018,1082,33,231455.25
69,5,2018,1451,39,342312.05
69,6,2018,1271,49,320454.02
69,7,2018,1156,35,284190.32
69,8,2018,1230,28,300400.55
69,9,2018,1052,40,257631.69
69,10,2018,1317,33,310542.06
69,11,2018,1342,34,333915.58
69,12,2018,1063,31,253128.03
69,1,2019,1395,41,337805.23
69,2,2019,1048,38,275262.16
69,3,2019,1176,41,285776.9
69,4,2019,1310,37,320348.0
69,5,2019,1265,34,285475.32
69,6,2019,1166,29,293077.96
69,7,2019,1199,29,301369.21
69,8,2019,1105,39,257460.32
69,9,2019,1106,33,265601.37
69,10,2019,1301,30,312785.18
69,11,2019,1227,36,307327.83
69,12,2019,977,15,219418.05
69,1,2020,1210,49,296902.72
69,2,2020,1062,30,285297.72
69,3,2020,575,21,133078.54
69,4,2020,58,4,7613.7
69,5,2020,82,1,12053.84
69,6,2020,112,4,28212.45
69,7,2020,634,28,156139.62
69,8,2020,865,29,204163.23
69,9,2020,1093,32,283536.38
69,10,2020,1188,31,341823.75
69,11,2020,1167,46,403678.14
69,12,2020,1011,35,333804.93
154,8,2012,446,3,104594.88
154,9,2012,404,3,84876.31
154,10,2012,506,1,104913.09
154,11,2012,519,2,109637.45
154,12,2012,435,2,111698.24
154,1,2013,536,3,111509.15
154,2,2013,405,3,88646.13
154,3,2013,457,1,97738.62
154,4,2013,524,2,121669.32
154,5,2013,484,2,108294.15
154,6,2013,446,4,108252.2
154,7,2013,530,1,113110.71
154,8,2013,492,5,115875.26
154,10,2013,538,5,128524.67
154,11,2013,476,1,111858.55
154,12,2013,476,1,110510.93
154,1,2014,476,1,102589.95
154,2,2014,421,3,99335.23
154,3,2014,485,3,112064.81
154,4,2014,483,5,115126.59
154,6,2014,464,2,115208.06
154,7,2014,473,4,118003.96
154,8,2014,377,4,87469.35
154,9,2014,422,2,100056.0
154,10,2014,452,4,122385.93
154,11,2014,437,1,103374.45
154,12,2014,419,5,102754.95
154,1,2015,419,5,106007.94
154,3,2015,504,1,137448.18
154,4,2015,487,2,122530.69
154,5,2015,446,4,103940.11
154,6,2015,489,2,143874.12
154,7,2015,429,2,97322.82
154,8,2015,443,3,111142.3
154,9,2015,433,4,105506.43
154,10,2015,478,6,128812.77
154,11,2015,445,4,131272.01
154,12,2015,456,7,137078.63
154,1,2016,412,13,120671.32
154,2,2016,383,24,111296.67
154,3,2016,435,9,120361.66
154,4,2016,471,11,133059.23
154,5,2016,460,26,136035.7
154,6,2016,464,15,148892.4
154,7,2016,366,8,95324.99
154,8,2016,465,13,145705.91
154,9,2016,384,10,96097.25
154,10,2016,428,6,111922.3
154,11,2016,437,7,119267.23
154,12,2016,421,8,103690.81
154,1,2017,430,10,111873.97
154,2,2017,388,11,109255.54
154,3,2017,488,11,133668.58
154,4,2017,419,13,125482.63
154,5,2017,489,13,131602.17
154,6,2017,456,13,124627.69
154,7,2017,448,17,125919.94
154,8,2017,428,14,109874.33
154,9,2017,405,14,105822.36
154,10,2017,443,22,122391.18
154,11,2017,475,18,116210.56
154,12,2017,397,15,109435.97
154,1,2018,467,19,130682.6
154,2,2018,368,11,91802.35
154,3,2018,444,10,129773.16
154,4,2018,413,15,117439.56
154,5,2018,495,20,133669.45
154,6,2018,459,12,131291.52
154,7,2018,381,6,99713.64
154,8,2018,416,10,117421.1
154,9,2018,353,17,98928.82
154,10,2018,457,15,141792.32
154,11,2018,438,19,119489.95
154,12,2018,354,11,114691.99
154,1,2019,421,16,118714.64
154,2,2019,368,10,105175.04
154,3,2019,420,23,113141.32
154,4,2019,421,16,114900.13
154,5,2019,446,16,141126.42
154,6,2019,398,14,93909.06
154,7,2019,436,19,146996.08
154,8,2019,382,17,103337.86
154,9,2019,322,19,95035.79
154,10,2019,423,19,110692.44
154,11,2019,394,23,99205.01
154,12,2019,382,10,99751.0
154,1,2020,414,21,97745.97
154,2,2020,353,20,108034.67
154,3,2020,195,10,49540.09
154,6,2020,85,5,33278.7
154,7,2020,213,6,70664.33
154,8,2020,185,7,49226.94
154,9,2020,310,11,67120.47
154,10,2020,279,14,65634.79
154,11,2020,327,6,85530.72
154,12,2020,209,14,49607.34
82,4,2014,620,1,132708.4
82,1,2015,524,1,113417.53
82,2,2015,489,2,107485.63
82,3,2015,569,3,118534.78
82,4,2015,599,2,137199.42
82,5,2015,533,2,124705.51
82,6,2015,612,2,141518.25
82,8,2015,572,3,136099.38
82,9,2015,520,4,117733.66
82,10,2015,547,3,129194.94
82,12,2015,481,1,118073.42
82,1,2016,552,4,122617.47
82,2,2016,515,5,120292.49
82,3,2016,567,7,123305.67
82,4,2016,577,8,142037.15
82,5,2016,615,11,158989.61
82,6,2016,643,12,157203.24
82,7,2016,545,4,131910.7
82,8,2016,615,7,155069.55
82,9,2016,570,12,143985.14
82,10,2016,561,8,147784.5
82,11,2016,647,7,169391.61
82,12,2016,409,6,102193.68
82,1,2017,585,19,118017.38
82,2,2017,464,16,113353.09
82,3,2017,609,16,126299.28
82,4,2017,487,18,109802.87
82,5,2017,573,21,131747.95
82,6,2017,493,17,107225.44
82,7,2017,492,10,110991.26
82,8,2017,574,14,132703.45
82,9,2017,488,15,117821.18
82,10,2017,557,19,134725.06
82,11,2017,610,8,143425.89
82,12,2017,420,10,98366.67
82,1,2018,626,20,150576.91
82,2,2018,477,17,120683.2
82,3,2018,507,23,123123.64
82,4,2018,504,21,136500.39
82,5,2018,581,30,145239.82
82,6,2018,466,19,117235.17
82,7,2018,577,24,149859.06
82,8,2018,552,22,132474.39
82,9,2018,423,15,94106.22
82,10,2018,580,19,150029.87
82,11,2018,513,9,142352.37
82,12,2018,378,3,107575.75
82,1,2019,532,12,155904.32
82,2,2019,369,25,91661.67
82,3,2019,438,21,107309.9
82,4,2019,461,28,122620.85
82,5,2019,504,33,129644.17
82,6,2019,390,27,89388.85
82,7,2019,429,39,105806.84
82,8,2019,372,18,86441.87
82,9,2019,337,32,85359.33
82,10,2019,426,38,111122.56
82,11,2019,363,18,85954.69
82,12,2019,304,18,74255.98
82,1,2020,395,31,94499.2
82,2,2020,287,17,76572.54
82,3,2020,181,18,42300.14
82,6,2020,107,16,43964.96
82,7,2020,381,26,96784.81
82,8,2020,408,17,108007.42
82,9,2020,419,20,121057.56
82,10,2020,294,24,95548.03
82,11,2020,283,22,95683.73
82,12,2020,242,30,80841.04
56,1,2010,451,18,112481.01
56,2,2010,459,10,121706.79
56,3,2010,559,22,155106.57
56,4,2010,514,9,129994.25
56,5,2010,475,5,130465.69
56,6,2010,587,25,163875.91
56,7,2010,428,12,116495.39
56,8,2010,429,8,108980.04
56,9,2010,551,4,142977.88
56,10,2010,513,7,137173.1
56,11,2010,544,4,139822.68
56,12,2010,375,3,115894.8
56,1,2011,415,3,109917.08
56,2,2011,405,7,115176.84
56,3,2011,511,12,144758.63
56,4,2011,404,7,101708.98
56,5,2011,524,7,130010.22
56,6,2011,510,12,139039.91
56,7,2011,348,5,93343.81
56,8,2011,315,9,83776.96
56,9,2011,494,8,120499.05
56,10,2011,410,7,99056.39
56,11,2011,529,10,132322.02
56,12,2011,366,2,120091.18
56,1,2012,381,8,96693.27
56,2,2012,363,15,119655.93
56,3,2012,469,17,133549.13
56,4,2012,427,8,118884.94
56,5,2012,520,16,151484.37
56,6,2012,463,15,130217.85
56,7,2012,377,13,113556.25
56,8,2012,299,1,81982.64
56,9,2012,393,15,105480.51
56,10,2012,503,15,135069.96
56,11,2012,467,12,136370.93
56,12,2012,299,8,78178.31
56,1,2013,451,14,112332.23
56,2,2013,330,15,102015.35
56,3,2013,434,15,125803.99
56,4,2013,446,16,123132.64
56,5,2013,470,21,127156.34
56,6,2013,440,36,135295.23
56,7,2013,325,15,77719.12
56,8,2013,400,36,109541.62
56,9,2013,436,31,117782.89
56,10,2013,475,23,125637.88
56,11,2013,446,19,126245.4
56,12,2013,346,6,121330.28
56,1,2014,358,23,93175.6
56,2,2014,405,16,123422.18
56,3,2014,423,24,115407.76
56,4,2014,415,30,122120.14
56,5,2014,457,31,118223.61
56,6,2014,423,42,118717.43
56,7,2014,309,28,86999.67
56,8,2014,270,18,70868.56
56,9,2014,427,23,120686.07
56,10,2014,428,19,126338.09
56,11,2014,464,30,135618.58
56,12,2014,352,10,117022.98
56,1,2015,317,12,80731.84
56,2,2015,339,12,111151.33
56,3,2015,395,11,118318.27
56,4,2015,387,17,125325.58
56,5,2015,342,42,129860.13
56,6,2015,387,93,126643.96
56,7,2015,334,57,105185.8
56,8,2015,300,18,91795.34
56,9,2015,382,8,122528.03
56,10,2015,346,12,118961.05
56,11,2015,392,7,128828.53
56,12,2015,295,7,114400.09
56,1,2016,286,7,85628.25
56,2,2016,327,13,105120.82
56,3,2016,366,25,121691.27
56,4,2016,367,22,121104.35
56,5,2016,343,63,117318.61
56,6,2016,353,75,120400.07
56,7,2016,297,92,94082.2
56,8,2016,338,54,108414.5
56,9,2016,314,13,100171.82
56,10,2016,354,20,123666.59
56,11,2016,399,21,128922.12
56,12,2016,287,8,104193.42
56,1,2017,272,12,94178.49
56,2,2017,303,18,101921.54
